"Provider Number","Facility Name",County,"Profit or Non-Profit","Chain Organization","# of Dialysis Stations","Percent of Adult HD patients with Kt/V >= 1.2","Number of adult HD patients with KT/V data","Number of patients included in the transfusion summary","Number of patients in hypercalcemia summary","Number of patient-months in hypercalcemia summary","Number of patients in Serum phosphorus summary","Number of patient-months in Serum phosphorus summary","Number of patients included in hospitalization summary","No. of hospitalization with hospital readmission summary","Number of Patients included in survival summary","Number of Patients included in fistula summary","Number of patients in long term catheter summary","Number of patient months in long term catheter summary","Number of patients in nPCR summary","Number of patient-months in nPCR summary","PPPW category text","Patient Transfusion category text","Fistula Category Text","Patient Infection category text","Patient Hospital Readmission Category","Patient Survival Category Text","Patient hospitalization category text"
52628,"DAVITA HANFORD DIALYSIS",KINGS,Profit,DAVITA,20,97,92,65,101,871,111,918,71,67,270,110,110,928,1,3,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52629,"SATELLITE HEALTHCARE INC","SANTA CRUZ",Non-Profit,"SATELLITE HEALTHCARE",21,97,128,97,134,1264,140,1312,112,74,421,141,141,1330,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52630,"SATELLITE HEALTHCARE INC",SONOMA,Non-Profit,"SATELLITE HEALTHCARE",48,99,168,112,182,1643,189,1722,130,150,551,187,187,1709,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52631,"DAVITA WILSHIRE DIALYSIS CENTER","LOS ANGELES",Profit,DAVITA,19,99,131,146,182,1668,188,1702,155,135,669,143,143,1257,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52632,"DAVITA GLENDALE DIALYSIS","LOS ANGELES",Profit,DAVITA,20,98,117,96,140,1328,146,1341,108,124,498,131,131,1220,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Better than Expected","As Expected"
52633,"FMC-MISSION HILLS","LOS ANGELES",Profit,"FRESENIUS MEDICAL CARE",23,96,141,91,152,1453,151,1449,105,106,544,155,155,1493,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52634,FMC-RAI-CENTINELA-INGLEWOOD,"LOS ANGELES",Profit,"FRESENIUS MEDICAL CARE",25,98,117,53,126,1208,128,1221,61,60,237,132,132,1253,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
52635,"DAVITA BAKERSFIELD BRIMHALL DIALYSIS",KERN,Profit,DAVITA,20,99,126,84,132,1168,134,1154,94,101,412,135,135,1180,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","Worse than Expected","As Expected"
52637,"DAVITA BURBANK DIALYSIS","LOS ANGELES",Profit,DAVITA,24,96,118,78,133,1175,134,1210,94,105,416,135,135,1216,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52638,"DAVITA SIMI VALLEY DIALYSIS",VENTURA,Profit,DAVITA,24,100,92,68,105,946,109,986,78,118,333,100,100,901,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52641,"DAVITA HUNTINGTON BEACH DIALYSIS",ORANGE,Profit,DAVITA,10,95,55,37,59,514,59,512,42,44,163,62,62,530,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52643,"DAVITA TOWER DIALYSIS","LOS ANGELES",Profit,DAVITA,20,97,60,51,83,807,81,768,67,88,288,61,61,576,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","Better than Expected","As Expected"
52644,FMC-ALHAMBRA,"LOS ANGELES",Profit,"FRESENIUS MEDICAL CARE",20,99,69,56,81,725,84,768,67,67,294,83,83,747,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52647,"SATELLITE HEALTHCARE INC",STANISLAUS,Non-Profit,"SATELLITE HEALTHCARE",25,96,123,97,144,1279,153,1316,114,136,479,155,155,1349,0,0,"Better than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52648,"DAVITA SAN JUAN CAPISTRANO SOUTH DIALYSIS",ORANGE,Profit,DAVITA,18,98,73,59,92,864,94,887,62,54,244,82,82,786,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52651,"US RENAL CARE BERKELEY",ALAMEDA,Profit,"DIVERSIFIED SPECIALTY INSTITUTES (DSI)",24,92,41,31,42,386,42,388,34,40,177,43,43,407,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52652,"DAVITA PARAMOUNT DIALYSIS CENTER","LOS ANGELES",Profit,DAVITA,37,98,195,114,203,1900,214,1975,127,150,537,213,213,1974,1,12,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
52653,"FMC-CHULA VISTA DIALYSIS CENTER-SOUTH","SAN DIEGO",Profit,"FRESENIUS MEDICAL CARE",30,99,187,136,191,1853,199,1915,150,144,604,199,199,1915,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52654,"FMC-GAREY DIALYSIS CENTER PARTNERSHIP","LOS ANGELES",Profit,"FRESENIUS MEDICAL CARE",29,99,117,78,126,1252,130,1264,91,87,414,131,131,1278,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52656,FMC-VENTURA,VENTURA,Profit,"FRESENIUS MEDICAL CARE",27,98,149,143,225,2220,237,2327,163,160,631,168,168,1626,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Better than Expected","As Expected"
52657,"FMC-RAI-CORPORATE WAY-PALM DESERT",RIVERSIDE,Profit,"FRESENIUS MEDICAL CARE",21,96,96,81,132,1130,136,1160,102,78,429,114,114,972,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52658,"KIDNEY INSTITUTE OF THE DESERT",RIVERSIDE,Profit,INDEPENDENT,20,99,84,61,89,838,94,870,69,51,314,94,94,866,0,0,"As Expected","As Expected","As Expected","Not Available","As Expected","As Expected","As Expected"
52661,"DAVITA CORONA DIALYSIS CENTER",RIVERSIDE,Profit,DAVITA,24,99,140,74,145,1339,154,1404,84,89,404,153,153,1390,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","Worse than Expected","As Expected"
52663,"DAVITA ANTELOPE DIALYSIS CENTER",SACRAMENTO,Profit,DAVITA,31,92,182,99,185,1619,191,1679,109,130,462,190,190,1688,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52665,"DAVITA SANTA MONICA DIALYSIS","LOS ANGELES",Profit,DAVITA,22,98,148,102,154,1434,164,1501,123,133,456,162,162,1489,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","Better than Expected","As Expected"
52666,"DAVITA TULARE DIALYSIS",TULARE,Profit,DAVITA,16,99,96,74,101,928,100,946,81,67,337,102,102,957,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52668,"FMC-CAMARILLO DIALYSIS CENTER",VENTURA,Profit,"FRESENIUS MEDICAL CARE",15,98,44,34,46,427,48,432,40,43,182,48,48,435,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52670,"DAVITA IMPERIAL DIALYSIS","LOS ANGELES",Profit,DAVITA,30,97,157,128,175,1571,182,1569,139,140,574,173,173,1598,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52671,"DAVITA UNITED DIALYSIS CENTER","LOS ANGELES",Profit,DAVITA,28,99,167,104,181,1849,193,1886,117,129,525,192,192,1891,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52673,"DAVITA BAKERSFIELD DIALYSIS CENTER",KERN,Profit,DAVITA,76,97,217,152,260,2320,262,2321,169,174,843,231,231,2109,1,4,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
52674,"DAVITA DELANO DIALYSIS",KERN,Profit,DAVITA,32,99,189,133,193,1808,199,1843,145,98,634,197,197,1848,0,0,"As Expected","As Expected","As Expected","Worse than Expected","As Expected","As Expected","Better than Expected"
52675,"DAVITA EAST BAY PERITONEAL DIALYSIS CENTER",ALAMEDA,Profit,DAVITA,4,0,0,11,22,175,21,165,12,10,60,0,0,0,0,0,"Better than Expected","Not Available","Not Available","Not Available","Not Available","As Expected","As Expected"
52676,"DCI UNIVERSITY DIALYSIS CLINIC",SACRAMENTO,Non-Profit,"DIALYSIS CLINIC, INC.",24,95,95,99,135,1078,142,1091,112,109,485,117,117,819,3,14,"As Expected","As Expected","As Expected","Not Available","As Expected","As Expected","As Expected"
52677,"SAN JOAQUIN VALLEY DIALYSIS",FRESNO,Profit,"FRESENIUS MEDICAL CARE",22,96,131,90,136,1286,137,1290,100,98,437,139,139,1331,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52678,"FMC-GATEWAY DIALYSIS CENTER-EAST","SAN DIEGO",Profit,"FRESENIUS MEDICAL CARE",24,98,146,103,154,1478,159,1506,114,106,457,161,161,1529,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Better than Expected","As Expected"
52679,"U.S. RENAL CARE REDONDO BEACH DIALYSIS","LOS ANGELES",Profit,"US RENAL CARE, INC.",7,91,44,22,48,442,50,452,31,41,143,49,49,463,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","Worse than Expected","As Expected"
52682,"DAVITA FONTANA DIALYSIS","SAN BERNARDINO",Profit,DAVITA,28,95,204,119,216,1973,219,2002,130,140,473,218,218,2046,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52683,"FMC-RAI-EAST OLYMPIC-LOS ANGELES","LOS ANGELES",Profit,"FRESENIUS MEDICAL CARE",24,99,115,90,139,1362,139,1371,99,131,429,122,122,1195,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52684,"PERITONEAL DIALYSIS CENTER OF AMERICA-SAN GABRIEL PC","LOS ANGELES",Profit,INDEPENDENT,2,0,0,26,37,323,36,344,27,42,106,0,0,0,0,0,"As Expected","Worse than Expected","Not Available","Not Available","As Expected","As Expected","Worse than Expected"
52685,"DAVITA HAYWARD DIALYSIS CENTER",ALAMEDA,Profit,DAVITA,30,97,145,81,151,1403,153,1429,98,90,429,156,156,1445,0,0,"Better than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","Better than Expected"
52686,"FMC-LA MESA DIALYSIS CENTER","SAN DIEGO",Profit,"FRESENIUS MEDICAL CARE",24,96,192,140,199,1865,216,1943,164,204,662,217,217,1955,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52687,FMC-CARSON,"LOS ANGELES",Profit,"FRESENIUS MEDICAL CARE",11,99,62,40,67,643,69,668,44,38,189,69,69,669,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52689,"DAVITA WALNUT CREEK DIALYSIS CENTER","CONTRA COSTA",Profit,DAVITA,24,99,107,49,112,974,120,1025,64,70,269,119,119,1020,0,0,"Better than Expected","As Expected","Better than Expected","Better than Expected","As Expected","As Expected","As Expected"
52690,"FMC-EL CENTRO DESERT VALLEY DIALYSIS CENTER",IMPERIAL,Profit,"FRESENIUS MEDICAL CARE",20,100,103,28,103,1031,113,1082,100,50,340,113,113,1089,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Better than Expected","Better than Expected"
52691,"DAVITA CAMERON PARK DIALYSIS","EL DORADO",Profit,DAVITA,23,97,142,110,144,1222,155,1277,126,101,481,156,156,1279,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52694,"FMC LOS GATOS","SANTA CLARA",Profit,"FRESENIUS MEDICAL CARE",12,99,52,43,55,456,56,471,51,39,206,57,57,468,0,0,"Better than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52695,"DAVITA LOS ANGELES DIALYSIS CENTER","LOS ANGELES",Profit,DAVITA,28,98,152,98,167,1634,170,1622,113,114,479,163,163,1576,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52696,"DAVITA VISALIA DIALYSIS",TULARE,Profit,DAVITA,24,96,152,126,186,1640,200,1689,143,169,709,164,164,1383,0,0,"Better than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52699,"HIGH DESERT HEMODIALYSIS","LOS ANGELES",Profit,INDEPENDENT,10,94,65,54,73,704,76,726,56,55,218,77,77,724,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
52700,"DAVITA MONTEREY PARK DIALYSIS CENTER","LOS ANGELES",Profit,DAVITA,28,98,109,80,133,1259,133,1280,93,84,422,116,116,1091,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52701,"U.S. RENAL CARE EARL STREET DIALYSIS","LOS ANGELES",Profit,"US RENAL CARE, INC.",9,97,66,48,70,688,69,672,58,66,253,71,71,698,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52703,"RAI WEST MARCH","SAN JOAQUIN",Profit,"FRESENIUS MEDICAL CARE",36,99,141,93,160,1416,165,1444,112,106,435,151,151,1367,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
52705,"RAI NORTH CALIFORNIA","SAN JOAQUIN",Profit,"RENAL ADVANTAGE",15,98,85,51,88,843,92,890,56,57,213,92,92,890,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52706,"DAVITA ATWATER DIALYSIS",MERCED,Profit,DAVITA,16,99,85,60,86,821,89,843,65,87,301,87,87,834,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52707,"DAVITA ALHAMBRA DIALYSIS CENTER",SACRAMENTO,Profit,DAVITA,20,98,108,69,119,1083,120,1078,78,69,332,125,125,1107,0,0,"As Expected","As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected"
52708,"FMC-NORTH COAST KIDNEY CENTER","SAN DIEGO",Profit,"FRESENIUS MEDICAL CARE",30,99,197,151,209,2025,213,2084,172,122,688,216,216,2096,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52709,"DAVITA VACAVILLE DIALYSIS CENTER",SOLANO,Profit,DAVITA,15,96,112,74,115,1088,121,1104,84,80,335,122,122,1129,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52710,"LA PUENTE DIALYSIS CENTER, INC.","LOS ANGELES",Profit,INDEPENDENT,24,99,104,89,158,1486,159,1507,100,117,359,166,166,1533,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52711,"SOUTHGATE DIALYSIS",SACRAMENTO,Non-Profit,"DIALYSIS CLINIC, INC.",22,97,57,43,70,651,77,670,51,43,223,76,76,664,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52712,"INTERCOMMUNITY DIALYSIS CENTER","LOS ANGELES",Profit,INDEPENDENT,31,97,224,124,262,2545,272,2638,163,313,695,258,258,2523,0,0,"As Expected","Worse than Expected","Better than Expected","Better than Expected","As Expected","As Expected","Worse than Expected"
52713,"DAVITA UNIVERSITY PARK DIALYSIS CENTER","LOS ANGELES",Profit,DAVITA,20,97,103,65,112,1072,114,1075,72,73,298,116,116,1099,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52714,"DESERT CITIES DIALYSIS","SAN BERNARDINO",Profit,INDEPENDENT,30,90,165,138,238,2119,256,2195,160,222,697,226,226,1948,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","Worse than Expected","Worse than Expected"
52715,"U.S. RENAL CARE LOMITA DIALYSIS","LOS ANGELES",Profit,"US RENAL CARE, INC.",21,91,131,85,146,1414,153,1478,97,95,411,152,152,1473,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52716,"DAVITA SANTA ANA DIALYSIS CENTER",ORANGE,Profit,DAVITA,26,98,72,44,81,729,83,731,49,59,210,83,83,750,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52717,"DAVITA GREATER EL MONTE DIALYSIS CENTER","LOS ANGELES",Profit,DAVITA,14,99,62,41,64,610,64,603,45,61,186,68,68,616,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52718,"DAVITA NORWALK DIALYSIS CENTER","LOS ANGELES",Profit,DAVITA,17,98,92,66,98,903,103,931,71,107,271,104,104,939,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52719,"DAVITA SAN FRANCISCO DIALYSIS","SAN FRANCISCO",Profit,DAVITA,30,96,141,91,147,1346,154,1378,106,110,415,154,154,1405,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52720,"CITRUS DIALYSIS CENTER","LOS ANGELES",Profit,INDEPENDENT,22,98,99,69,109,1031,111,1032,76,92,304,112,112,1060,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52721,"RAI PERALTA",ALAMEDA,Profit,"FRESENIUS MEDICAL CARE",27,98,142,103,149,1359,153,1414,120,140,477,155,155,1425,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52722,"FMC FREMONT",ALAMEDA,Profit,"FRESENIUS MEDICAL CARE",24,98,105,90,123,1115,131,1134,108,143,444,122,122,1039,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52723,"DAVITA MANTECA DIALYSIS","SAN JOAQUIN",Profit,DAVITA,12,100,33,24,39,347,43,356,29,32,115,38,38,342,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52724,"DAVITA SFS DIALYSIS","LOS ANGELES",Profit,DAVITA,20,100,56,28,61,482,60,493,34,39,127,63,63,500,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52725,"DAVITA DOCTORS DIALYSIS CENTER OF EAST LOS ANGELES","LOS ANGELES",Profit,DAVITA,32,96,149,88,153,1304,163,1389,101,111,364,159,159,1377,0,0,"As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected","As Expected"
52726,"MOHAN DIALYSIS CENTER OF COVINA","LOS ANGELES",Profit,INDEPENDENT,18,99,127,80,136,1323,145,1364,86,125,347,146,146,1373,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52727,"FMC-RAI-INDIANA COURT-REDLANDS","SAN BERNARDINO",Profit,"FRESENIUS MEDICAL CARE",18,97,108,71,118,1053,120,1091,77,70,323,121,121,1092,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52728,"RAI OCEAN AVENUE","SAN FRANCISCO",Profit,"FRESENIUS MEDICAL CARE",24,99,163,108,207,2000,216,2080,123,124,539,183,183,1704,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52729,"DAVITA OAKLAND DIALYSIS",ALAMEDA,Profit,DAVITA,40,98,185,111,193,1737,203,1795,127,135,524,203,203,1791,0,0,"Better than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52730,"DAVITA MURRIETA DIALYSIS",RIVERSIDE,Profit,DAVITA,24,98,167,101,175,1496,199,1578,117,138,499,198,198,1601,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52731,"FMC-BALBOA MARINA BAY","SAN DIEGO",Profit,"FRESENIUS MEDICAL CARE",31,98,222,157,229,2250,232,2310,177,160,706,238,238,2346,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","Better than Expected","As Expected"
52734,"DAVITA ANAHEIM DIALYSIS",ORANGE,Profit,DAVITA,36,98,162,109,186,1685,194,1741,121,171,517,185,185,1661,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52735,"DAVITA TEMECULA DIALYSIS CENTER",RIVERSIDE,Profit,DAVITA,18,98,141,95,148,1193,161,1290,102,93,440,161,161,1294,0,0,"Better than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52738,"DAVITA LOS BANOS DIALYSIS",MERCED,Profit,DAVITA,24,97,108,75,124,1134,128,1162,85,58,401,118,118,1039,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52739,"DAVITA CHINO DIALYSIS","SAN BERNARDINO",Profit,DAVITA,24,98,96,63,107,973,114,1024,71,65,307,114,114,1031,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52740,"FMC-RAI-FLETCHER PARKWAY-EL CAJON","SAN DIEGO",Profit,"FRESENIUS MEDICAL CARE",22,99,103,59,120,1237,123,1264,64,99,275,123,123,1260,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected"
52742,"RAI E. 14TH",ALAMEDA,Profit,"RENAL ADVANTAGE",21,96,50,33,52,494,54,508,35,40,157,53,53,514,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52743,"DAVITA MOUNTAIN VISTA DIALYSIS CENTER","SAN BERNARDINO",Profit,DAVITA,28,100,166,113,193,1793,203,1854,125,157,552,183,183,1653,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected"
52744,"DAVITA SOUTH VALLEY DIALYSIS","LOS ANGELES",Profit,DAVITA,25,99,124,89,134,1248,137,1266,115,119,494,138,138,1286,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Better than Expected","As Expected"
52746,"DAVITA AIRPORT SUNRISE DIALYSIS CENTER","LOS ANGELES",Profit,DAVITA,56,97,337,219,390,3654,396,3753,250,334,1013,373,373,3540,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Better than Expected","Worse than Expected"
52747,"U.S. RENAL CARE WEST COAST DIALYSIS","LOS ANGELES",Profit,"US RENAL CARE, INC.",21,91,143,119,195,1894,197,1879,141,177,594,170,170,1622,0,0,"Better than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52751,"SOUTH COUNTY DIALYSIS","SANTA CLARA",Non-Profit,"SATELLITE HEALTHCARE",24,95,147,153,198,1809,200,1797,161,135,612,171,171,1481,0,0,"Better than Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52752,"RAI CERES AVENUE, CHICO",BUTTE,Profit,"FRESENIUS MEDICAL CARE",20,96,93,85,101,940,106,975,104,127,433,99,99,906,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52753,"DAVITA LODI DIALYSIS CENTER","SAN JOAQUIN",Profit,DAVITA,21,97,103,82,107,929,119,976,89,88,353,120,120,979,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52755,"FMC-EL MONTE","LOS ANGELES",Profit,"FRESENIUS MEDICAL CARE",17,100,69,42,73,711,77,732,50,57,195,79,79,730,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","Better than Expected","As Expected"
52756,"DAVITA ENCINITAS DIALYSIS","SAN DIEGO",Profit,DAVITA,15,98,65,58,78,464,84,490,67,46,286,73,73,425,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52757,"FMC DIABLO CENTRAL PITTSBURG","CONTRA COSTA",Profit,"FRESENIUS MEDICAL CARE",15,98,80,61,85,851,86,863,69,86,283,87,87,864,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Better than Expected","As Expected"
52758,"FMC DIABLO WALNUT CREEK","CONTRA COSTA",Profit,"FRESENIUS MEDICAL CARE",20,98,104,96,148,1298,155,1340,124,151,487,114,114,970,0,0,"Better than Expected","As Expected","As Expected","As Expected","As Expected","Better than Expected","As Expected"
52759,"FMC DIABLO CONCORD","CONTRA COSTA",Profit,"FRESENIUS MEDICAL CARE",22,99,146,88,157,1469,160,1507,110,134,449,161,161,1529,0,0,"Better than Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
52760,"FMC-SAN GABRIEL DIALYSIS CENTER","LOS ANGELES",Profit,"FRESENIUS MEDICAL CARE",38,100,95,48,102,975,104,999,57,52,245,104,104,997,0,0,"As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected","As Expected"
52761,"DAVITA PREMIER DIALYSIS CENTER","LOS ANGELES",Profit,DAVITA,36,99,204,129,223,2088,229,2105,143,165,717,224,224,2065,0,0,"As Expected","Worse than Expected","As Expected","As Expected","As Expected","Worse than Expected","Worse than Expected"
52762,FMC-OXNARD,VENTURA,Profit,"FRESENIUS MEDICAL CARE",21,100,143,99,152,1415,161,1473,115,141,455,161,161,1479,0,0,"As Expected","As Expected","As Expected","Better than Expected","As Expected","As Expected","As Expected"
52764,"FMC-SAN GABRIEL VALLEY PD CLINIC","LOS ANGELES",Profit,"FRESENIUS MEDICAL CARE",6,0,0,17,33,262,35,278,18,19,52,0,0,0,0,0,"As Expected","Not Available","Not Available","Not Available","As Expected","As Expected","As Expected"
52765,"RAI FAIRWAY ROCKLIN",PLACER,Profit,"FRESENIUS MEDICAL CARE",14,95,45,32,54,492,56,515,42,34,165,57,57,510,0,0,"Better than Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52768,"DAVITA DIAMOND VALLEY DIALYSIS CENTER",RIVERSIDE,Profit,DAVITA,36,96,140,86,142,1116,152,1174,97,129,315,148,148,1160,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
52769,"DAVITA CHINATOWN DIALYSIS","SAN FRANCISCO",Profit,DAVITA,22,100,105,85,117,1137,124,1197,91,81,365,124,124,1187,0,0,"Better than Expected","As Expected","Better than Expected","Better than Expected","As Expected","As Expected","As Expected"
52770,"DAVITA SELMA DIALYSIS",FRESNO,Profit,DAVITA,16,98,114,87,129,1305,131,1316,95,98,455,126,126,1283,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52771,"DAVITA VISALIA AT HOME DIALYSIS",TULARE,Profit,DAVITA,0,0,0,20,28,254,29,254,22,20,122,0,0,0,0,0,"As Expected","As Expected","Not Available","Not Available","As Expected","As Expected","As Expected"
52772,"FMC-RAI-HOSPITAL CIRCLE-WESTMINSTER",ORANGE,Profit,"FRESENIUS MEDICAL CARE",16,99,85,60,94,915,93,913,74,98,279,94,94,918,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52773,"DAVITA WESTMINSTER SOUTH DIALYSIS",ORANGE,Profit,DAVITA,24,97,149,129,172,1551,177,1578,138,145,553,164,164,1438,0,0,"As Expected","As Expected","Better than Expected","Better than Expected","As Expected","As Expected","As Expected"
52776,"DAVITA HI-DESERT DIALYSIS","SAN BERNARDINO",Profit,DAVITA,25,96,92,71,115,1024,123,1074,80,95,327,98,98,860,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52778,"NRC-SANTA CLARITA KIDNEY CENTER","LOS ANGELES",Profit,"NATIONAL RENAL CARE",23,98,105,71,122,1202,126,1225,83,99,432,125,125,1225,0,0,"As Expected","As Expected","As Expected","As Expected","As Expected","As Expected","As Expected"
52779,"FMC-RAI-MISSION GORGE SAN DIEGO","SAN DIEGO",Profit,"FRESENIUS MEDICAL CARE",33,98,200,160,352,3417,363,3550,175,190,703,235,235,2326,0,0,"Better than Expected","As Expected","As Expected","As Expected","As Expected","Worse than Expected","As Expected"
