Facility Name,CMS Certification Number (CCN),City,Total Performance Score,PY2020 Payment Reduction Percentage,"Ownership as of December 31, 2018"
FMC ENGLEWOOD DIALYSIS CENTER,312536,ENGLEWOOD,70,0.00%,FRESENIUS MEDICAL CARE
DAVITA ATLANTIC AKC,312537,EATONTOWN,50,0.50%,DAVITA
FMC SO OCEAN CO,312538,MANAHAWKIN,66,0.00%,FRESENIUS MEDICAL CARE
DVA PERTH AMBOY DIALYSIS CTR,312540,PERTH AMBOY,58,0.50%,DAVITA
DVA OLD BRIDGE DIALYSIS CTR,312541,OLD BRIDGE,63,0.00%,DAVITA
FMC UNION HILL,312542,UNION CITY,54,0.50%,FRESENIUS MEDICAL CARE
FMC DIAL ASSOC NO JERSEY DC,312543,PARSIPPANY,77,0.00%,FRESENIUS MEDICAL CARE
DCI FREEHOLD,312544,FREEHOLD,72,0.00%,"DIALYSIS CLINIC, INC."
DAVITA JERSEY CITY AKC NO BERGEN,312545,NORTH BERGEN,49,0.50%,DAVITA
FMC BLOOMFIELD DC,312546,BLOOMFIELD,47,1.00%,FRESENIUS MEDICAL CARE
FMC PHILLIPSBURG DIALYSIS CTR,312547,PHILLIPSBURG,66,0.00%,FRESENIUS MEDICAL CARE
DVA BURLINGTON NO DIALYSIS CTR,312548,BURLINGTON,82,0.00%,DAVITA
FMC KINGS CT FLEMINGTON DIALYSIS CTR,312550,FLEMINGTON,61,0.00%,FRESENIUS MEDICAL CARE
US RENAL CARE VINELAND DIALYSIS,312551,VINELAND,47,1.00%,"US RENAL CARE, INC."
FMC HAMILTON SQUARE,312552,HAMILTON,58,0.50%,FRESENIUS MEDICAL CARE
PHYSICIANS DIALYSIS PASSAIC,312553,CLIFTON,73,0.00%,OTHER
FMC KENVIL,312554,KENVIL,79,0.00%,FRESENIUS MEDICAL CARE
DCI SOMERSET,312555,SOMERSET,60,0.00%,"DIALYSIS CLINIC, INC."
FMC LAKEWOOD DIALYSIS,312557,LAKEWOOD,56,0.50%,FRESENIUS MEDICAL CARE
DVA PLAINFIELD DIALYSIS CENTER,312558,PLAINFIELD,66,0.00%,DAVITA
DVA EDISON,312559,EDISON,75,0.00%,DAVITA
FMC SILVER DIALYSIS,312560,CHERRY HILL,47,1.00%,FRESENIUS MEDICAL CARE
DAVITA RENAL CENTER BAYONNE,312561,BAYONNE,74,0.00%,DAVITA
SHINING STAR DAVITA BRICKTOWN DC,312562,BRICK,73,0.00%,DAVITA
PHYSICIANS DIALYSIS BRICK,312563,BRICK,57,0.50%,NOT A CHAIN
FMC HARRISON DC,312564,HARRISON,62,0.00%,FRESENIUS MEDICAL CARE
DAVITA RENAL CENTER OF SEWELL,312565,SEWELL,78,0.00%,DAVITA
DAVITA VINELAND DIALYSIS,312566,VINELAND,52,0.50%,DAVITA
SHINING STAR DAVITA NEPTUNE DC,312567,NEPTUNE,52,0.50%,DAVITA
FMC EAST ORANGE DC,312568,EAST ORANGE,55,0.50%,FRESENIUS MEDICAL CARE
SHINING STAR DAVITA MIDDLETOWN DC,312569,RED BANK,67,0.00%,DAVITA
DAVITA RENAL CENTER OF NEWARK,312570,NEWARK,46,1.00%,NOT A CHAIN
DAVITA RENAL CTR TRENTON,312571,TRENTON,76,0.00%,DAVITA
DAVITA RENAL CTR NEWTON,312572,NEWTON,66,0.00%,DAVITA
FMC BERGEN RCC,312573,TEANECK,71,0.00%,FRESENIUS MEDICAL CARE
SHINING STAR DAVITA SOMERSET DIALYSIS,312574,SOMERSET,62,0.00%,DAVITA
FKC LIBERTY BERLIN DC,312575,BERLIN,74,0.00%,FRESENIUS MEDICAL CARE
FKC ACC LIVINGSTON ST BARNABAS SO ORANGE AVE,312576,LIVINGSTON,62,0.00%,FRESENIUS MEDICAL CARE
FMC ELIZABETH DC,312578,ELIZABETH,66,0.00%,FRESENIUS MEDICAL CARE
FMC CAPE MAY DC,312579,CAPE MAY COURT HOUSE,74,0.00%,FRESENIUS MEDICAL CARE
HAMILTON PK DIALYSIS CENTER,312580,JERSEY CITY,45,1.00%,NOT A CHAIN
DAVITA PARKSIDE DC,312581,NEWARK,72,0.00%,DAVITA
FMC WHITING DIALYSIS CTR,312582,WHITING,60,0.00%,FRESENIUS MEDICAL CARE
PHYSICIANS DIALYSIS SOMERVILLE,312583,SOMERVILLE,61,0.00%,OTHER
DVA WILLINGBORO,312584,WILLINGBORO,72,0.00%,DAVITA
FMC WINSLOW,312585,SICKLERVILLE,75,0.00%,FRESENIUS MEDICAL CARE
FMC MAPLEWOOD DIALYSIS CENTER,312586,MAPLEWOOD,49,0.50%,FRESENIUS MEDICAL CARE
DAVITA HILLSIDE DIALYSIS CTR,312587,HILLSIDE,62,0.00%,DAVITA
FMC EGG HARBOR DC,312588,EGG HARBOR TOWNSHIP,70,0.00%,FRESENIUS MEDICAL CARE
PHYSICIANS DIALYSIS HACKETTSTOWN,312589,HACKETTSTOWN,79,0.00%,OTHER
DAVITA MARLTON DIALYSIS CENTER,312590,MARLTON,61,0.00%,DAVITA
WELLBOUND OF MERCER,312591,HAMILTON,71,0.00%,SATELLITE HEALTHCARE
FKC LIBERTY RUNNEMEDE,312592,RUNNEMEDE,67,0.00%,FRESENIUS MEDICAL CARE
DAVITA PENNSAUKEN DIALYSIS CENTER,312593,PENNSAUKEN,64,0.00%,DAVITA
DAVITA LOURDES DIALYSIS AT INNOVA INC,312594,MOUNT LAUREL,61,0.00%,DAVITA
FMC MADISON DIALYSIS AT MATAWAN,312595,MATAWAN,74,0.00%,FRESENIUS MEDICAL CARE
FMC FAIRVIEW,312596,FAIRVIEW,50,0.50%,FRESENIUS MEDICAL CARE
ST. JOSEPH'S WAYNE DIALYSIS,312597,WAYNE,69,0.00%,DAVITA
FMC IRONBOUND,312598,NEWARK,48,1.00%,FRESENIUS MEDICAL CARE
DAVITA MILLVILLE DIALYSIS,312599,MILLVILLE,44,1.00%,DAVITA
DCI MONROE,312600,MONROE,72,0.00%,"DIALYSIS CLINIC, INC."
FKC LIBERTY LINWOOD DIALYSIS,312602,LINWOOD,57,0.50%,FRESENIUS MEDICAL CARE
FKC LIBERTY HAMMONTON,312603,HAMMONTON,58,0.50%,FRESENIUS MEDICAL CARE
PHYSICIANS DIALYSIS LAWRENCEVILLE,312604,LAWRENCEVILLE,66,0.00%,OTHER
WOODLAND PARK DIALYSIS CENTER,312606,WOODLAND PARK,76,0.00%,AMERICAN RENAL ASSOCIATES
DAVITA DURHAM CORNERS,312607,SOUTH PLAINFIELD,69,0.00%,DAVITA
FMC EAST MORRIS,312608,MORRISTOWN,78,0.00%,FRESENIUS MEDICAL CARE
FMC EDISON,312609,EDISON,74,0.00%,FRESENIUS MEDICAL CARE
DAVITA PRINCETON JUNCTION DIALYSIS,312610,PRINCETON JUNCTION,71,0.00%,DAVITA
FMC POMONA,312611,GALLOWAY,74,0.00%,FRESENIUS MEDICAL CARE
FMC LINDEN DIALYSIS,312612,LINDEN,73,0.00%,FRESENIUS MEDICAL CARE
ST. JOSEPH'S SJRMC DIALYSIS,312613,PATERSON,65,0.00%,DAVITA
ST. JOSEPH'S PATERSON DIALYSIS,312614,PATERSON,64,0.00%,DAVITA
DAVITA HACKENSACK,312615,MAYWOOD,70,0.00%,DAVITA
DAVITA FAIRLAWN DIALYSIS,312616,FAIR LAWN,89,0.00%,DAVITA
DAVITA LOURDES MT LAUREL DIALYSIS,312617,MOUNT LAUREL,53,0.50%,DAVITA
"HOLY NAME RENAL CARE CENTER, LLC",312618,TEANECK,68,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE NORTH MONTCLAIR,312619,MONTCLAIR,67,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE PARAMUS,312620,PARAMUS,77,0.00%,FRESENIUS MEDICAL CARE
NEW BRUNSWICK DIALYSIS,312621,NEW BRUNSWICK,62,0.00%,DAVITA
DAVITA LOURDES CAMDEN DIALYSIS,312622,CAMDEN,68,0.00%,DAVITA
DAVITA RENAL CTR SUCCASUNNA,312623,SUCCASUNNA,78,0.00%,DAVITA
DAVITA RENAL CTR MORRISTOWN,312624,MORRISTOWN,72,0.00%,RENAL VENTURES MANAGEMENT
FRESENIUS MEDICAL CARE NORTH CAPE MAY,312625,CAPE MAY,83,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE HACKENSACK,312626,HACKENSACK,79,0.00%,FRESENIUS MEDICAL CARE
"ARA GREAT FALLS DIALYSIS, LLC",312627,PATERSON,79,0.00%,AMERICAN RENAL ASSOCIATES
FRESENIUS KIDNEY CARE SHORE,312628,NORTHFIELD,52,0.50%,FRESENIUS MEDICAL CARE
DAVITA WOODBRIDGE DIALYSIS CENTER,312629,WOODBRIDGE,71,0.00%,DAVITA
ARA DIALYSIS CENTER AT WEST ORANGE,312630,WEST ORANGE,74,0.00%,AMERICAN RENAL ASSOCIATES
TETERBORO DIALYSIS,312632,TETERBORO,62,0.00%,DAVITA
DAVITA NORTH HALEDON DIALYSIS,312633,HALEDON,72,0.00%,DAVITA
FRESENIUS MEDICAL CARE TOMS RIVER,312634,TOMS RIVER,59,0.00%,FRESENIUS MEDICAL CARE
FMC NORTH JERSEY CITY,312635,JERSEY CITY,77,0.00%,FRESENIUS MEDICAL CARE
"TOTAL RENAL CARE, INC WEST ORANGE DIALYSIS",312636,WEST ORANGE,57,0.50%,DAVITA
DAVITA RADBURN DIALYSIS,312637,FAIR LAWN,87,0.00%,DAVITA
DAVITA EAST BRUNSWICK,312638,EAST BRUNSWICK,62,0.00%,DAVITA
FMC BURLINGTON DIALYSIS,312639,BURLINGTON,68,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE SWEDESBORO,312640,SWEDESBORO,63,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE DEPTFORD LLC,312641,DEPTFORD,62,0.00%,FRESENIUS MEDICAL CARE
"FRESENIUS MEDICAL CARE LIVINGSTON, LLC",312642,LIVINGSTON,52,0.50%,FRESENIUS MEDICAL CARE
DAVITA EAST PATERSON,312643,PATERSON,62,0.00%,DAVITA
DAVITA MAIN STREET DIALYSIS,312644,LUMBERTON,64,0.00%,DAVITA
DAVITA MILLBURN DIALYSIS,312645,MILLBURN,74,0.00%,DAVITA
WALL TOWNSHIP HOME TRAINING,312646,WALL,41,1.00%,DAVITA
ARA GARDEN STATE KIDNEY CENTER,312647,WOODBRIDGE,75,0.00%,AMERICAN RENAL ASSOCIATES
DAVITA DIALYSIS AT DEBORAH,312648,BROWNS MILLS,56,0.50%,DAVITA
MATAWAN DIALYSIS,312649,MATAWAN,45,1.00%,DAVITA
DAVITA ATLANTIC COUNTY DIALYSIS,312651,PLEASANTVILLE,65,0.00%,DAVITA
DAVITA DIALYSIS AT PALISADES MEDICAL CENTER,312652,NORTH BERGEN,62,0.00%,DAVITA
PERSHING LLC,312653,JERSEY CITY,84,0.00%,DAVITA
DAVITA METUCHEN DIALYSIS,312654,METUCHEN,65,0.00%,DAVITA
MONROE TOWNSHIP DIALYSIS,312655,MONROE TOWNSHIP,73,0.00%,DAVITA
FMC DOVER,312656,DOVER,78,0.00%,FRESENIUS MEDICAL CARE
DAVITA RENAL CENTER HAMILTON,312657,TRENTON,29,1.50%,DAVITA
FMC NEPTUNE,312658,NEPTUNE,68,0.00%,FRESENIUS MEDICAL CARE
MERIDIAN-FRESENIUS DIALYSIS AT BRICK,312659,BRICK,52,0.50%,FRESENIUS MEDICAL CARE
MERIDIAN FRESENIUS DIALYSIS RED BANK,312660,RED BANK,81,0.00%,FRESENIUS MEDICAL CARE
KAMAKEE DIALYSIS (DAVITA OCEAN COUNTY DC),312661,TOMS RIVER,67,0.00%,DAVITA
ARA CLIFTON DIALYSIS CENTER,312663,CLIFTON,80,0.00%,AMERICAN RENAL ASSOCIATES
FMC VINELAND,312664,VINELAND,61,0.00%,FRESENIUS MEDICAL CARE
USRC MARLTON,312665,MARLTON,77,0.00%,"US RENAL CARE, INC."
FRESENIUS MEDICAL CARE PISCATAWAY,312666,SOMERSET,74,0.00%,FRESENIUS MEDICAL CARE
CRRT AT MERWICK,312667,PLAINSBORO,42,1.00%,NOT A CHAIN
DAVITA RAHWAY,312669,RAHWAY,78,0.00%,DAVITA
DAVITA LYNDHURST DIALYSIS,312670,LYNDHURST,67,0.00%,DAVITA
DAVITA JERSEY CITY SUMMIT DIALYSIS,312671,JERSEY CITY,82,0.00%,DAVITA
DAVITA HILLSBOROUGH DIALYSIS,312672,HILLSBOROUGH,90,0.00%,DAVITA
DAVITA BRIDGETON DIALYSIS,312673,BRIDGETON,59,0.00%,DAVITA
USRC VOORHEES LLC,312674,VOORHEES,75,0.00%,"US RENAL CARE, INC."
DAVITA BROOKLAWN DIALYSIS,312675,GLOUCESTER CITY,66,0.00%,DAVITA
ALARIS HEALTH AT ESSEX,312676,IRVINGTON,52,0.50%,NOT A CHAIN
US RENAL CARE PENNS GROVE,312677,CARNEYS POINT,73,0.00%,"US RENAL CARE, INC."
DAVITA JACKSON TOWNSHIP DIALYSIS,312679,JACKSON,59,0.00%,DAVITA
DAVITA HAMILTON STREET DIALYSIS,312680,SOMERSET,12,2.00%,DAVITA
FKC MARLTON,312682,MARLTON,94,0.00%,FRESENIUS MEDICAL CARE
DAVITA IRVINGTON DIALYSIS,312683,IRVINGTON,57,0.50%,DAVITA
FKC BAYONNE,312687,BAYONNE,34,1.50%,FRESENIUS MEDICAL CARE
KENNEDY DIALYSIS CENTER VOORHEES,313501,VOORHEES,50,0.50%,NOT A CHAIN
TRINITAS SAT LINDEN,313503,LINDEN,80,0.00%,NOT A CHAIN
KENNEDY DIALYSIS CENTER WASHINGTON TWP,313517,SEWELL,62,0.00%,NOT A CHAIN
TRINITAS LIVINGSTON ST,313519,ELIZABETH,52,0.50%,NOT A CHAIN
322310 UNM PEDIATRIC DIALYSIS,322310,ALBUQUERQUE,15,2.00%,NOT A CHAIN
322500 NEW MEXICO ARTIFICIAL KIDNEY CENTER (FMC),322500,ALBUQUERQUE,43,1.00%,FRESENIUS MEDICAL CARE
322501 SANTA FE DIALYSIS (FMC),322501,SANTA FE,62,0.00%,FRESENIUS MEDICAL CARE
322503 FOUR CORNERS DIALYSIS FARMINGTON (DVA),322503,FARMINGTON,49,0.50%,DAVITA
322504 ALBUQUERQUE KIDNEY CENTER (FMC),322504,ALBUQUERQUE,68,0.00%,FRESENIUS MEDICAL CARE
322505 LAS CRUCES DIALYSIS (FMC),322505,LAS CRUCES,48,1.00%,FRESENIUS MEDICAL CARE
322506 ALBUQUERQUE DIALYSIS (DCI),322506,ALBUQUERQUE,61,0.00%,"DIALYSIS CLINIC, INC."
322507 SILVER CITY DIALYSIS (DCI),322507,SILVER CITY,62,0.00%,"DIALYSIS CLINIC, INC."
322508 ALAMOGORDO DIALYSIS (FMC),322508,ALAMOGORDO,76,0.00%,FRESENIUS MEDICAL CARE
322509 RIO RANCHO DIALYSIS (FMC),322509,RIO RANCHO,71,0.00%,FRESENIUS MEDICAL CARE
322510 GRANTS DIALYSIS (DCI),322510,GRANTS,81,0.00%,"DIALYSIS CLINIC, INC."
322511 CENTRAL NEW MEXICO KIDNEY CENTER (FMC),322511,LOS LUNAS,60,0.00%,FRESENIUS MEDICAL CARE
322513 ESPANOLA DIALYSIS (FMC),322513,ESPANOLA,75,0.00%,FRESENIUS MEDICAL CARE
322514 TAOS DIALYSIS (DCI),322514,TAOS,64,0.00%,"DIALYSIS CLINIC, INC."
322515 SHIPROCK DIALYSIS (DVA),322515,SHIPROCK,63,0.00%,DAVITA
322516 DEMING DIALYSIS (FMC),322516,DEMING,87,0.00%,FRESENIUS MEDICAL CARE
322517 PLAINS REGIONAL DIALYSIS CENTER (FMC),322517,CLOVIS,66,0.00%,FRESENIUS MEDICAL CARE
322518 LAS VEGAS NM DIALYSIS (FMC),322518,LAS VEGAS,82,0.00%,FRESENIUS MEDICAL CARE
322519 SOUTHEASTERN NM KIDNEY CENTER (FMC),322519,ROSWELL,75,0.00%,FRESENIUS MEDICAL CARE
322520 RIO RANCHO DIALYSIS (DCI),322520,RIO RANCHO,93,0.00%,"DIALYSIS CLINIC, INC."
322521 HOBBS DIALYSIS (FMC),322521,HOBBS,67,0.00%,FRESENIUS MEDICAL CARE
322522 CARLSBAD DIALYSIS (DCI),322522,CARLSBAD,82,0.00%,"DIALYSIS CLINIC, INC."
322523 NORTH ALBUQUERQUE DIALYSIS CENTER (FMC),322523,ALBUQUERQUE,79,0.00%,FRESENIUS MEDICAL CARE
322524 ACL DIALYSIS (DCI),322524,SAN FIDEL,78,0.00%,"DIALYSIS CLINIC, INC."
322526 RATON DIALYSIS (DCI),322526,RATON,66,0.00%,"DIALYSIS CLINIC, INC."
322527 LAS CRUCES RENAL CENTER (DVA),322527,LAS CRUCES,51,0.50%,DAVITA
322528 LAS CRUCES SOUTH DIALYSIS (FMC),322528,LAS CRUCES,53,0.50%,FRESENIUS MEDICAL CARE
322529 CARLSBAD DIALYSIS (FMC),322529,CARLSBAD,90,0.00%,FRESENIUS MEDICAL CARE
322530 ALBUQUERQUE EAST (DCI),322530,ALBUQUERQUE,75,0.00%,"DIALYSIS CLINIC, INC."
322531 GIBSON DIALYSIS CENTER (FMC),322531,ALBUQUERQUE,51,0.50%,FRESENIUS MEDICAL CARE
322533 NORTH RIO RANCHO DIALYSIS (FMC),322533,RIO RANCHO,75,0.00%,FRESENIUS MEDICAL CARE
322534 RED ROCKS DIALYSIS- GALLUP,322534,GALLUP,62,0.00%,OTHER
322535 RED ROCKS DIALYSIS - ZUNI,322535,ZUNI,75,0.00%,OTHER
322536 RED ROCKS DIALYSIS - CROWNPOINT,322536,CROWNPOINT,73,0.00%,OTHER
322537 ARTESIA DIALYSIS (DVA),322537,ARTESIA,72,0.00%,DAVITA
322538 SANTA FE HOME (FMC),322538,SANTA FE,62,0.00%,FRESENIUS MEDICAL CARE
322539 SANTO DOMINGO PUEBLO (DCI),322539,SANTO DOMINGO PUEBLO,82,0.00%,"DIALYSIS CLINIC, INC."
"322540 RED ROCKS HOME DIALYSIS, LLC",322540,GALLUP,74,0.00%,"US RENAL CARE, INC."
322541 ALBUQUERQUE SOUTH (DCI),322541,ALBUQUERQUE,66,0.00%,"DIALYSIS CLINIC, INC."
322542 HOME DIALYSIS OF NEW MEXICO,322542,ALBUQUERQUE,54,0.50%,NOT A CHAIN
322543 CUBA DIALYSIS (DCI),322543,CUBA,69,0.00%,"DIALYSIS CLINIC, INC."
322544 MESILLA VALLEY DIALYSIS (DVA),322544,LAS CRUCES,38,1.50%,DAVITA
322545 JICARILLA APACHE NATION DIALYSIS TREATMENT CENTER,322545,DULCE,67,0.00%,FRESENIUS MEDICAL CARE
322546 - LIBERTY ALBUQUERQUE DIALYSIS (FMC),322546,ALBUQUERQUE,70,0.00%,FRESENIUS MEDICAL CARE
"322547-THE KIDNEY CARE CENTER, LLC",322547,HOBBS,43,1.00%,OTHER
322548 - LIBERTY RIO RANCHO (FMC),322548,ALBUQUERQUE,75,0.00%,FRESENIUS MEDICAL CARE
322549-DEL NORTE DIALYSIS,322549,ALBUQUERQUE,59,0.00%,DAVITA
322550-US RENAL CARE CLOVIS DIALYSIS,322550,CLOVIS,49,0.50%,"US RENAL CARE, INC."
"322551-ALBUQUERQUE WESTSIDE, LLC",322551,ALBUQUERQUE,60,0.00%,FRESENIUS MEDICAL CARE
322552-SANDHILL DIALYSIS,322552,SOCORRO,82,0.00%,FRESENIUS MEDICAL CARE
322553-CLOVIS HIGH PLAINS,322553,CLOVIS,61,0.00%,FRESENIUS MEDICAL CARE
"322554- SOLID ROCK DIALYSIS, LLC",322554,GALLUP,75,0.00%,"US RENAL CARE, INC."
322556-SANDIA PEAK DIALYSIS,322556,ALBUQUERQUE,83,0.00%,NOT A CHAIN
"322557-HOME DIALYSIS OF SANTA FE,LLC",322557,SANTA FE,43,1.00%,NOT A CHAIN
ST. JOSEPHS HOSP. HLTH CTR-YONKERS,332303,YONKERS,66,0.00%,NOT A CHAIN
MT. SINAI KIDNEY CTR.,332307,NEW YORK,34,1.50%,NOT A CHAIN
FAXTON-ST. LUKES HEALTHCARE,332309,UTICA,48,1.00%,NOT A CHAIN
HUNTINGTON HOSPITAL,332310,HUNTINGTON,90,0.00%,NOT A CHAIN
BROOKLYN HOSPITAL CENTER,332312,BROOKLYN,40,1.00%,NOT A CHAIN
MONTEFIORE HOSP. & MED. CTR.,332313,BRONX,39,1.00%,NOT A CHAIN
MARY IMOGENE BASSETT HOSPITAL,332329,COOPERSTOWN,26,2.00%,NOT A CHAIN
LONG ISLAND COMMUNITY HOSPITAL,332332,PATCHOGUE,49,0.50%,NOT A CHAIN
WINTHROP UNIVERSITY HOSPITAL,332336,MINEOLA,56,0.50%,NOT A CHAIN
METROPOLITAN HOSPITAL CENTER,332344,NEW YORK,81,0.00%,NOT A CHAIN
KINGSBROOK JEWISH MEDICAL CENTER,332345,BROOKLYN,29,1.50%,NOT A CHAIN
NYC HEALTH + HOSPITALS/KINGS COUNTY,332346,BROOKLYN,71,0.00%,NOT A CHAIN
ERIE COUNTY MEDICAL CENTER,332350,BUFFALO,50,0.50%,NOT A CHAIN
BROOKDALE HOSPITAL & MEDICAL CENTER,332352,BROOKLYN,16,2.00%,NOT A CHAIN
HARLEM HOSPITAL,332354,NEW YORK,39,1.00%,NOT A CHAIN
ST. BARNABAS HOSPITAL OPD DIALYSIS CENTER,332375,BRONX,46,1.00%,NOT A CHAIN
MARJORIE BASSER DIALYSIS CENTER,332379,FAR ROCKAWAY,54,0.50%,NOT A CHAIN
UNITY HOSPITAL OF ROCHESTER - PARK RIDGE CAMPUS,332390,ROCHESTER,47,1.00%,NOT A CHAIN
GENEVA GENERAL HOSPITAL,332393,GENEVA,59,0.00%,NOT A CHAIN
LINCOLN HOSPITAL,332394,BRONX,48,1.00%,NOT A CHAIN
LAKE PLAINS DIALYSIS CENTER,332401,MEDINA,54,0.50%,NOT A CHAIN
ADIRONDACK MEDICAL CENTER ESRD,332404,SARANAC LAKE,72,0.00%,NOT A CHAIN
ST. CATHERINE OF SIENA MED. CTR,332405,SMITHTOWN,50,0.50%,NOT A CHAIN
EASTERN NIAGARA HOSPITAL ESRD,332412,NEWFANE,57,0.50%,NOT A CHAIN
WESTCHESTER ARTIFICIAL KIDNEY CENTER,332504,ELMSFORD,71,0.00%,"DIALYSIS CLINIC, INC."
SOUTH BRONX DIALYSIS CENTER,332506,BRONX,34,1.50%,DAVITA
"ISLAND REHABILITATIVE SERVICES, INC.",332511,STATEN ISLAND,40,1.00%,NOT A CHAIN
HUNTINGTON ARTIFICIAL KIDNEY CENTER,332513,HUNTINGTON STATION,60,0.00%,DAVITA
"RIDGEWOOD DIALYSIS CENTER, INC.",332514,NEW YORK,46,1.00%,NOT A CHAIN
LIBERTY R.C.,332516,BROOKLYN,60,0.00%,DAVITA
FMS-QUEENS ARTIFICIAL KIDNEY CENTER,332517,JACKSON HEIGHTS,57,0.50%,FRESENIUS MEDICAL CARE
FMS-CENTRAL SUFFOLK  AKC,332518,PT.JEFFERSN STATION,55,0.50%,FRESENIUS MEDICAL CARE
FMS-BAYSIDE DIALYSIS CENTER,332519,BAYSIDE,64,0.00%,FRESENIUS MEDICAL CARE
ROGOSIN INSTITUTE,332520,NEW YORK,47,1.00%,NOT A CHAIN
FRESENIUS KIDNEY CARE - HEMPSTEAD,332521,HEMPSTEAD,47,1.00%,FRESENIUS MEDICAL CARE
ROGOSIN INSTITUTE-NEPHROLOGY FOUNDATION OF BROOKLYN SOUTH,332522,BROOKLYN,63,0.00%,NOT A CHAIN
FMS-CAPITAL DISTRICT DIALYSIS CENTER,332523,SCHENECTADY,55,0.50%,FRESENIUS MEDICAL CARE
CITY DIALYSIS CENTER,332524,NEW YORK,57,0.50%,FRESENIUS MEDICAL CARE
RICHMOND KIDNEY CENTER,332525,STATEN ISLAND,55,0.50%,DAVITA
LOWER MANHATTAN DIALYSIS CENTER,332528,NEW YORK,55,0.50%,NOT A CHAIN
"HUNTINGTON AKC FREEPORT, EXT.",332529,FREEPORT,49,0.50%,DAVITA
S. MANHATTAN DIALYSIS CENTER,332530,NEW YORK,55,0.50%,NEW YORK DIALYSIS SERVICES
FMS-SOUTH QUEENS DIALYSIS CENTER,332531,JAMAICA,61,0.00%,FRESENIUS MEDICAL CARE
DCI - RUBIN DIALYSIS CENTER - TROY,332532,TROY,50,0.50%,"DIALYSIS CLINIC, INC."
FMS-NEPHROCARE,332534,BROOKLYN,44,1.00%,FRESENIUS MEDICAL CARE
ROGOSIN INSTITUTE-NEPHROLOGY FOUNDATION OF BROOKLYN EAST,332535,BROOKLYN,60,0.00%,NOT A CHAIN
ITHACA DIALYSIS CLINIC,332536,ITHACA,53,0.50%,DAVITA
FMS-MIDDLETOWN DIALYSIS CENTER,332538,MIDDLETOWN,56,0.50%,FRESENIUS MEDICAL CARE
SOUTHERN WESTCHESTER DIALYSIS CTR,332539,YONKERS,58,0.50%,FRESENIUS MEDICAL CARE
RIDGEWOOD DIALYSIS CENTER,332541,RIDGEWOOD,32,1.50%,NOT A CHAIN
LOWER MANHATTAN DIALYSIS CENTER II,332543,NEW YORK,62,0.00%,NOT A CHAIN
FMS-ALBANY DIALYSIS CENTER,332544,ALBANY,37,1.50%,FRESENIUS MEDICAL CARE
UNIVERSITY DIALYSIS CENTER,332545,SYRACUSE,29,1.50%,"DIALYSIS CLINIC, INC."
CATSKILL DIALYSIS CENTER,332546,MONTICELLO,43,1.00%,DAVITA
ROGOSIN INSTITUTE-QUEENS,332547,WOODSIDE,62,0.00%,NOT A CHAIN
"RENAL CARE OF BUFFALO, INC.",332548,WEST SENECA,56,0.50%,DAVITA
FRESENIUS KIDNEY CARE - NIAGARA,332549,NIAGARA FALLS,70,0.00%,FRESENIUS MEDICAL CARE
FMS-NEPHRO CARE WEST,332550,BROOKLYN,54,0.50%,FRESENIUS MEDICAL CARE
PURE LIFE RENAL OF BUFFALO INC.,332551,WILLIAMSVILLE,61,0.00%,NOT A CHAIN
"TRUE NORTH DIALYSIS CENTER, LLC",332552,HICKSVILLE,54,0.50%,DAVITA
FMS-KENMORE ARTIFICIAL KIDNEY CENTER,332554,KENMORE,45,1.00%,FRESENIUS MEDICAL CARE
HUNTINGTON AKC- MEDFORD EXT.,332555,MEDFORD,63,0.00%,DAVITA
"UTICA AVENUE DIALYSIS CLINIC, INC.",332556,BROOKLYN,52,0.50%,DAVITA
DCI - RUBIN DIALYSIS CENTERS - SARATOGA SPRINGS,332557,SARATOGA SPRINGS,54,0.50%,"DIALYSIS CLINIC, INC."
FRESENIUS KIDNEY CARE BELLMORE,332558,BELLMORE,73,0.00%,FRESENIUS MEDICAL CARE
PORT CHESTER DIALYSIS & RENAL CTR.,332559,PURCHASE,53,0.50%,DAVITA
BAYRIDGE SUNSET PK DIALYSIS CTR,332560,BROOKLYN,41,1.00%,NOT A CHAIN
COLUMBIA GREENE DIALYSIS CENTERS,332562,GHENT,39,1.00%,NOT A CHAIN
BRONX DIALYSIS CENTER,332563,BRONX,52,0.50%,DAVITA
RIVERDALE DIALYSIS CENTER,332565,BRONX,46,1.00%,DAVITA
ROGOSIN KIDNEY CENTER - BKLYN,332566,BROOKLYN,59,0.00%,NOT A CHAIN
STATEN ISLAND DIALYSIS CLINIC/ AKC,332567,STATEN ISLAND,48,1.00%,"DIALYSIS CLINIC, INC."
"NEWTOWN DIALYSIS CENTER, INC",332568,ASTORIA,49,0.50%,NOT A CHAIN
FMS-ALBANY REGIONAL KIDNEY CENTER,332569,ALBANY,40,1.00%,FRESENIUS MEDICAL CARE
"STONY BROOK KIDNEY CENTER, DCI",332570,EAST SETAUKET,59,0.00%,"DIALYSIS CLINIC, INC."
