Provider Number,Facility Name,County,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Percent of Adult HD patients with Kt/V >= 1.2,Number of adult HD patients with KT/V data,Mortality Rate (Facility),Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary ,Number of patients included in hospitalization summary,No. of hospitalization with hospital readmission summary,Number of Patients included in survival summary,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Number of patients in nPCR summary,Number of patient-months in nPCR summary,PPPW category text,Patient Transfusion category text,Fistula Category Text,Patient Infection category text,Patient Hospital Readmission Category,Patient Survival Category Text,Patient hospitalization category text
362500,COMMUNITY DIALYSIS CENTER,CUYAHOGA,Non-Profit,CENTERS FOR DIALYSIS CARE,80,97,282,19.9,185,287,2727,298,2782,220,299,1025,299,299,2775,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,Worse than Expected
362501,FMC - CENTRAL OHIO,FRANKLIN,Profit,FRESENIUS MEDICAL CARE,24,96,115,20.1,76,120,1106,122,1132,85,112,346,122,122,1135,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected
362502,DAVITA MT AUBURN DIALYSIS,HAMILTON,Profit,DAVITA,28,99,88,20.9,59,92,900,99,918,68,84,328,99,99,907,0,0,Worse than Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected
333561,UNITY HOSPITAL OF ROCHESTER - ST. MARY'S,MONROE,Non-Profit,INDEPENDENT,21,98,84,24.0,72,91,848,94,877,78,91,339,93,93,873,0,0,As Expected,As Expected,As Expected,Not Available,As Expected,As Expected,As Expected
342610,FMC DIALYSIS SERVICES OF WARREN HILLS,WARREN,Profit,FRESENIUS MEDICAL CARE,25,98,70,23.8,55,71,721,73,741,60,60,249,73,73,743,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
342611,DIALYSIS CLINIC INC KINGS MOUNTAIN,CLEVELAND,Non-Profit,"DIALYSIS CLINIC, INC.",15,92,44,25.7,36,45,405,49,424,38,47,156,49,49,443,0,0,As Expected,As Expected,As Expected,Better than Expected,Better than Expected,As Expected,As Expected
342709,DAVITA ALAMANCE COUNTY DIALYSIS,ALAMANCE,Profit,DAVITA,10,98,48,24.2,63,89,755,96,811,67,81,186,53,53,442,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342710,FMC SOUTH ROCKY MOUNT,NASH,Profit,FRESENIUS MEDICAL CARE,16,97,81,21.2,86,118,1047,120,1090,100,116,325,91,91,829,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342712,DAVITA SAMPSON COUNTY HOME TRAINING,SAMPSON,Profit,DAVITA,5,0,0,0,4,8,54,8,63,4,6,10,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
342532,DAVITA SEDC JACKSONVILLE DIALYSIS CENTER,ONSLOW,Profit,DAVITA,38,98,116,20.2,87,120,1159,128,1192,102,98,420,128,128,1183,0,0,As Expected,As Expected,Better than Expected,Better than Expected,As Expected,As Expected,As Expected
342533,BMA OF BURLINGTON INC,ALAMANCE,Profit,FRESENIUS MEDICAL CARE,45,98,97,30.5,77,111,1045,121,1076,92,116,383,113,113,1004,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
342534,NEW BERN DIALYSIS,CRAVEN,Profit,FRESENIUS MEDICAL CARE,37,98,117,17.6,78,122,1143,129,1189,98,77,440,125,125,1170,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342535,DAVITA SEDC KENANSVILLE DIALYSIS CENTER,DUPLIN,Profit,DAVITA,17,97,75,30.0,56,80,684,82,711,65,59,228,85,85,728,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342536,DAVITA DIALYSIS CARE OF ROCKINGHAM COUNTY,ROCKINGHAM,Profit,DAVITA,25,99,90,20.6,67,99,975,109,1019,79,65,314,102,102,929,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
242539,DAVITA UNIVERSITY DIALYSIS UNIT RIVERSIDE,RAMSEY,Profit,DAVITA,20,97,118,17.2,68,120,900,123,919,83,108,266,127,127,927,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
242541,DAVITA PIPESTONE DIALYSIS,PIPESTONE,Profit,DAVITA,7,100,21,16.3,18,21,199,22,210,21,24,68,22,22,211,0,0,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected
242542,FMS DIALYSIS - SHAKOPEE,SCOTT,Profit,FRESENIUS MEDICAL CARE,12,98,68,20.9,50,78,586,85,604,64,70,235,76,76,583,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
242544,FMC DIALYSIS - NEW BRIGHTON,RAMSEY,Profit,FRESENIUS MEDICAL CARE,13,100,58,20.1,38,60,541,59,547,44,67,206,62,62,558,0,0,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected,As Expected
242545,"BIO-MEDICAL APPLICATIONS OF MINNESOTA, INC.",HENNEPIN,Profit,FRESENIUS MEDICAL CARE,14,98,66,23.8,46,67,598,74,629,54,89,211,75,75,637,0,0,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected,Worse than Expected
333562,OISHEI CHILDREN'S HOSPITAL OF BUFFALO,ERIE,Non-Profit,INDEPENDENT,4,0,0,0,0,1,1,1,4,1,0,14,1,1,4,4,18,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
333563,BASSETT HEALTHCARE LITTLE FALLS DIALYSIS,HERKIMER,Non-Profit,INDEPENDENT,12,96,36,25.7,29,44,377,46,387,38,57,147,40,40,324,0,0,As Expected,As Expected,As Expected,Not Available,As Expected,As Expected,As Expected
333564,ADIRONDACK MEDICAL CENTER - DIALYSIS,FRANKLIN,Non-Profit,INDEPENDENT,4,100,13,13.2,9,14,99,14,102,13,10,49,13,13,101,0,0,Not Available,Not Available,As Expected,Not Available,Not Available,As Expected,As Expected
333565,KINGSBROOK JEWISH MEDICAL CENTER - RNH DIALYSIS,KINGS,Non-Profit,INDEPENDENT,4,92,25,53.8,15,25,157,27,169,20,17,121,24,24,138,0,0,Not Available,Not Available,As Expected,Worse than Expected,As Expected,Worse than Expected,As Expected
333566,UNITY DIALYSIS AT CHILI,MONROE,Non-Profit,INDEPENDENT,16,98,30,28.8,26,31,285,31,292,28,34,109,31,31,292,0,0,As Expected,As Expected,As Expected,Not Available,As Expected,As Expected,As Expected
342713,FRESENIUS MEDICAL CARE SOUTHWEST CHARLOTTE,MECKLENBURG,Profit,FRESENIUS MEDICAL CARE,13,100,71,19.3,53,83,686,86,728,64,43,151,79,79,638,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342714,NORTH RANDOLPH DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,RANDOLPH,Non-Profit,WAKE FOREST UNIVERSITY,10,94,29,28.3,31,47,368,50,390,35,47,89,33,33,228,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342715,"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC.",FRANKLIN,Profit,FRESENIUS MEDICAL CARE,15,98,58,15.2,49,66,527,69,562,56,47,118,63,63,524,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
332755,"DIALYZE DIRECT NY, LLC",KINGS,Profit,INDEPENDENT,1,21,51,52.8,49,82,292,113,375,76,120,103,110,110,362,0,0,Not Available,Worse than Expected,As Expected,Not Available,As Expected,Worse than Expected,Worse than Expected
332756,FRESENIUS KIDNEY CARE - HORNELL,STEUBEN,Non-Profit,FRESENIUS MEDICAL CARE,9,94,69,14.9,47,78,666,85,644,58,47,187,83,83,643,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
332757,DAVITA HERTEL AVENUE DIALYSIS,ERIE,Profit,DAVITA,17,99,25,33.3,18,27,170,33,182,19,15,49,32,32,182,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,As Expected,As Expected
342633,KING DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,STOKES,Non-Profit,WAKE FOREST UNIVERSITY,17,98,56,33.4,56,84,651,89,704,66,83,257,83,83,603,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
342634,FMC OF EAST GREENSBORO,GUILFORD,Profit,FRESENIUS MEDICAL CARE,39,97,157,23.4,113,163,1366,179,1460,127,147,470,179,179,1460,0,0,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342635,FRESENIUS MEDICAL SERVICES OF CATAWBA VALLEY,CATAWBA,Profit,FRESENIUS MEDICAL CARE,25,100,106,19.6,79,111,1047,114,1091,89,56,347,114,114,1098,0,0,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected
342636,WEST IREDELL DIALYSIS CENTER,IREDELL,Non-Profit,WAKE FOREST UNIVERSITY,20,96,73,26.9,58,79,672,85,704,68,96,248,84,84,699,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342637,DAVITA FOREST HILLS DIALYSIS,WILSON,Profit,DAVITA,31,97,130,20.8,110,132,1267,147,1323,113,119,468,147,147,1307,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
242546,FMC MORA DIALYSIS CENTER,KANABEC,Profit,FRESENIUS MEDICAL CARE,11,98,39,22.1,28,40,362,43,382,30,38,127,43,43,384,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
252506,RCG BROOKHAVEN,LINCOLN,Profit,FRESENIUS MEDICAL CARE,32,94,139,34.2,148,193,1665,207,1728,173,171,718,178,178,1462,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Worse than Expected,As Expected
252507,RCG CLARKSDALE,COAHOMA,Profit,FRESENIUS MEDICAL CARE,40,97,160,22.0,138,176,1762,183,1809,151,122,613,176,176,1704,0,0,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected
252508,RCG COLUMBUS (GOLDEN TRIANGLE),LOWNDES,Profit,FRESENIUS MEDICAL CARE,35,99,139,27.0,103,140,1353,147,1393,116,56,510,146,146,1394,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,Better than Expected
252509,RCG VICKSBURG,WARREN,Profit,FRESENIUS MEDICAL CARE,21,96,84,23.2,68,89,826,93,872,75,78,314,93,93,877,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
252510,LAUREL DIALYSIS,JONES,Profit,INDEPENDENT,34,99,152,23.4,115,153,1410,160,1468,133,134,588,162,162,1482,0,0,As Expected,Worse than Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
342588,BMA OF CRYSTAL COAST INC,CARTERET,Profit,FRESENIUS MEDICAL CARE,16,97,69,18.1,56,71,635,78,674,66,46,241,78,78,675,0,0,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected
342589,BMA OF ZEBULON INC,WAKE,Profit,FRESENIUS MEDICAL CARE,30,96,100,18.4,68,104,970,108,990,84,85,362,108,108,979,1,8,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342590,WEST PETTIGREW DIALYSIS CENTER,DURHAM,Profit,FRESENIUS MEDICAL CARE,24,97,82,15.4,94,120,1139,121,1155,103,139,383,94,94,861,0,0,Better than Expected,As Expected,As Expected,Better than Expected,As Expected,Better than Expected,As Expected
342591,DSI GLENWATER DIALYSIS,MECKLENBURG,Profit,"US RENAL CARE, INC.",42,94,139,17.0,120,153,1385,155,1391,128,136,533,153,153,1383,0,0,As Expected,As Expected,Worse than Expected,As Expected,As Expected,Better than Expected,As Expected
342592,DAVITA DIALYSIS CARE OF KANNAPOLIS,ROWAN,Profit,DAVITA,30,100,110,24.3,107,147,1387,153,1458,122,126,485,127,127,1158,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342691,CAROLINA DIALYSIS OF MEBANE,ALAMANCE,Profit,FRESENIUS MEDICAL CARE,20,96,68,20.9,56,87,810,91,833,66,59,253,80,80,743,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
332758,DSI NEWBURGH LLC.,ORANGE,Profit,"US RENAL CARE, INC.",16,96,70,14.7,56,81,710,91,764,65,83,144,83,83,692,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
332759,DAVITA SEAWAY DIALYSIS,MONROE,Profit,DAVITA,25,99,23,19.2,19,23,216,23,197,22,22,54,24,24,219,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
332760,WOODMERE DIALYSIS LLC,SUFFOLK,Profit,INDEPENDENT,9,94,24,33.0,17,24,149,33,167,25,47,55,31,31,159,0,0,Not Available,Not Available,As Expected,As Expected,As Expected,As Expected,As Expected
342513,FRESENIUS MEDICAL CARE GASTONIA,GASTON,Profit,FRESENIUS MEDICAL CARE,39,95,170,22.2,166,227,2111,245,2171,183,172,794,231,231,2056,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342514,HIGH POINT KIDNEY CENTER OF WAKE FOREST UNIVERSITY,GUILFORD,Non-Profit,WAKE FOREST UNIVERSITY,41,97,165,26.0,182,250,2262,260,2361,206,294,793,188,188,1725,0,0,As Expected,Worse than Expected,As Expected,Worse than Expected,As Expected,As Expected,Worse than Expected
342638,DAVITA SOUTHERN PINES DIALYSIS CENTER,MOORE,Profit,DAVITA,15,99,61,21.7,36,62,544,64,574,46,56,193,63,63,574,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342734,DAVITA DURHAM REGIONAL DIALYSIS,UNKNOWN,Profit,DAVITA,10,99,23,0,15,24,168,27,188,20,17,25,28,28,188,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,Not Available,As Expected
342735,FRESENIUS MEDICAL CARE WHITE OAK,UNKNOWN,Profit,FRESENIUS MEDICAL CARE,12,100,53,16.7,29,53,434,56,453,38,27,47,57,57,473,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342736,DAVITA SUGAR CREEK,UNKNOWN,Profit,DAVITA,10,100,27,7.2,21,27,228,29,246,25,16,39,29,29,246,1,11,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342737,FRESENIUS KIDNEY CARE INDIAN TRAIL,UNKNOWN,Profit,FRESENIUS MEDICAL CARE,10,99,35,0,18,36,265,42,300,20,17,30,41,41,293,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,Not Available,As Expected
252511,RCG OXFORD  (YOKNA RIVER),LAFAYETTE,Profit,FRESENIUS MEDICAL CARE,28,94,143,22.4,118,145,1329,149,1375,140,147,529,149,149,1374,0,0,As Expected,As Expected,Better than Expected,Better than Expected,As Expected,As Expected,As Expected
333527,LONG ISLAND COMMUNITY HOSPITAL,SUFFOLK,Non-Profit,INDEPENDENT,24,96,200,17.6,153,220,2065,225,2089,180,200,761,222,222,2070,0,0,As Expected,Worse than Expected,Better than Expected,As Expected,As Expected,Better than Expected,As Expected
333529,FAXTON ST. LUKE'S HEALTHCARE - ROME,ONEIDA,Non-Profit,INDEPENDENT,16,99,73,21.7,56,73,674,80,706,67,79,276,80,80,703,0,0,As Expected,Worse than Expected,As Expected,As Expected,Worse than Expected,As Expected,As Expected
333531,BASSETT HEALTHCARE,OTSEGO,Non-Profit,INDEPENDENT,14,89,84,18.5,81,102,884,101,856,93,90,354,90,90,760,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
333533,STONY BROOK SOUTHAMPTON HOSPITAL REGIONAL DIALYSIS CENTER,SUFFOLK,Non-Profit,INDEPENDENT,17,93,71,20.5,43,75,622,75,649,64,78,251,75,75,644,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342692,DAVITA MINT HILL DIALYSIS,MECKLENBURG,Profit,DAVITA,22,99,65,25.8,41,66,545,66,572,48,51,202,65,65,558,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
342693,DAVITA BREVARD DIALYSIS,TRANSYLVANIA,Profit,DAVITA,9,99,38,19.1,33,44,350,49,361,42,62,165,44,44,323,0,0,As Expected,Worse than Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342694,"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC.",HARNETT,Profit,FRESENIUS MEDICAL CARE,10,99,38,10.1,34,38,349,38,360,36,25,129,39,39,361,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Better than Expected,As Expected
342695,DAVITA BILTMORE HOME TRAINING,BUNCOMBE,Profit,DAVITA,10,0,0,21.9,91,133,1038,145,1152,104,72,376,0,0,0,0,0,Better than Expected,As Expected,Not Available,Not Available,As Expected,As Expected,As Expected
342696,DAVITA FRANKLIN TOWNSHIP DIALYSIS,MACON,Profit,DAVITA,9,99,39,18.0,40,48,436,48,446,44,22,174,39,39,347,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,Better than Expected
342515,DAVITA ELIZABETH CITY DIALYSIS,PASQUOTANK,Profit,DAVITA,28,100,95,24.2,75,110,915,117,957,83,89,460,106,106,926,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342516,FMC DIALYSIS SERVICES OF HICKORY,CATAWBA,Profit,FRESENIUS MEDICAL CARE,35,97,128,24.5,99,138,1267,149,1318,113,72,506,148,148,1321,0,0,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected
342517,BMA OF ROCKY MOUNT INC,NASH,Profit,FRESENIUS MEDICAL CARE,40,99,150,23.2,109,151,1434,161,1501,126,122,595,161,161,1492,2,13,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342612,NORTHSIDE DIALYSIS CENTER OF WAKE FOREST UNIVERISITY,FORSYTH,Non-Profit,WAKE FOREST UNIVERSITY,45,95,159,26.3,137,200,1853,213,1937,153,183,596,186,186,1631,0,0,As Expected,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected
342613,BMA NORTHWEST GREENSBORO KIDNEY CENTER,GUILFORD,Profit,FRESENIUS MEDICAL CARE,33,96,127,21.3,85,132,1185,135,1222,102,92,386,135,135,1210,0,0,As Expected,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected
342738,FRESENIUS MEDICAL CARE ALDERSGATE,UNKNOWN,Profit,FRESENIUS MEDICAL CARE,10,94,30,0,16,30,207,34,229,19,20,21,34,34,238,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,Not Available,As Expected
342739,DAVITA MEBANE DIALYSIS,UNKNOWN,Profit,DAVITA,10,99,25,0,15,25,181,29,208,19,34,25,27,27,205,0,0,As Expected,Not Available,As Expected,As Expected,As Expected,Not Available,As Expected
332782,DCI GLENS FALLS,UNKNOWN,Non-Profit,"DIALYSIS CLINIC, INC.",27,91,173,13.9,152,225,2138,235,2216,191,231,352,205,205,1874,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,Better than Expected,As Expected
332783,BROOKLYN UNITED METHODIST CONTINUUM SERVICES,UNKNOWN,Profit,INDEPENDENT,12,95,17,0,7,17,86,17,86,10,18,10,17,17,92,0,0,Not Available,Not Available,As Expected,Not Available,As Expected,Not Available,Not Available
332784,DAVITA MOUNT HOPE DIALYSIS CENTER,UNKNOWN,Profit,DAVITA,16,99,18,0,11,18,109,22,120,13,4,13,22,22,125,0,0,As Expected,Not Available,As Expected,Not Available,Not Available,Not Available,Not Available
332785,DAVITA HUTCHINSON RIVER DIALYSIS,UNKNOWN,Profit,DAVITA,19,0,9,0,7,9,36,10,38,8,6,8,10,10,42,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
333535,SOUTH NASSAU OUTPATIENT DIALYSIS CENTER,NASSAU,Non-Profit,INDEPENDENT,18,99,151,15.2,125,158,1406,169,1464,147,162,559,170,170,1472,0,0,As Expected,Worse than Expected,Better than Expected,As Expected,As Expected,Better than Expected,As Expected
333536,DR RAVINDER N AGARWAL,SAINT LAWRENCE,Non-Profit,INDEPENDENT,24,97,62,23.9,63,86,782,85,777,73,72,331,78,78,696,0,0,As Expected,As Expected,As Expected,Not Available,As Expected,As Expected,As Expected
342567,DAVITA BURLINGTON DIALYSIS,ALAMANCE,Profit,DAVITA,16,100,73,28.4,50,74,696,82,716,58,54,346,82,82,720,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
342568,FMC LINCOLNTON DIALYSIS,LINCOLN,Profit,FRESENIUS MEDICAL CARE,30,98,96,21.0,73,96,954,101,979,81,104,351,101,101,984,0,0,As Expected,As Expected,Better than Expected,Better than Expected,As Expected,As Expected,As Expected
342569,SALEM KIDNEY CENTER OF WAKE FOREST UNIVERSITY,FORSYTH,Non-Profit,WAKE FOREST UNIVERSITY,39,93,166,22.9,126,176,1554,187,1652,145,169,542,188,188,1646,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
362503,FMC -  AKRON,SUMMIT,Profit,FRESENIUS MEDICAL CARE,30,95,73,25.1,53,79,677,82,706,64,53,289,82,82,705,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
362516,DCI - EAST LIVERPOOL,COLUMBIANA,Non-Profit,"DIALYSIS CLINIC, INC.",22,98,73,16.0,54,82,708,88,760,71,98,266,85,85,737,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,Better than Expected,As Expected
362518,DAVITA ZANESVILLE DIALYSIS,MUSKINGUM,Profit,DAVITA,22,100,45,25.6,35,53,504,57,518,43,34,186,50,50,455,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
362519,DAVITA BLUE ASH DIALYSIS,HAMILTON,Profit,DAVITA,18,100,55,19.3,39,59,537,61,553,47,46,226,62,62,561,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
362520,FMC - CENTRAL OHIO EAST,FRANKLIN,Profit,FRESENIUS MEDICAL CARE,20,93,107,22.0,70,113,1004,117,1041,88,119,358,118,118,1053,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
362521,FMC - AKRON CANTON KIDNEY CENTER,SUMMIT,Profit,FRESENIUS MEDICAL CARE,25,96,71,23.8,51,74,675,75,675,61,82,297,76,76,694,0,0,As Expected,As Expected,As Expected,Better than Expected,Better than Expected,As Expected,As Expected
342614,ELKIN DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,SURRY,Non-Profit,WAKE FOREST UNIVERSITY,19,96,55,29.0,40,56,502,67,547,55,54,231,65,65,537,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
342615,FMC DIALYSIS SERVICES OF BRIGGS AVENUE,DURHAM,Profit,FRESENIUS MEDICAL CARE,29,94,115,20.3,91,119,1080,121,1071,100,90,375,121,121,1101,0,0,As Expected,Better than Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342616,DAVITA DURHAM WEST DIALYSIS,DURHAM,Profit,DAVITA,25,99,94,22.3,108,156,1392,159,1425,126,134,512,128,128,1119,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
342617,CAROLINA DIALYSIS PITTSBORO,CHATHAM,Non-Profit,FRESENIUS MEDICAL CARE,10,95,45,14.8,27,46,425,47,447,35,30,124,46,46,430,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
342716,"DAVITA TOTAL RENAL CARE OF NORTH CAROLINA, LLC",BRUNSWICK,Profit,DAVITA,11,98,38,29.6,28,39,359,43,378,34,33,104,44,44,381,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
232642,MACOMB REGIONAL DIALYSIS CENTER,MACOMB,Profit,GREENFIELD HEALTH SYSTEMS,20,96,112,21.8,96,138,1214,148,1277,114,130,458,124,124,1066,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
232739,DAVITA TROY DIALYSIS,UNKNOWN,Profit,DAVITA,13,100,14,0,8,14,57,17,68,10,9,10,17,17,70,0,0,As Expected,Not Available,As Expected,Not Available,Not Available,Not Available,Not Available
232740,"MICHIGAN DIALYSIS SERVICES, LLC",UNKNOWN,Non-Profit,UNIVERSITY OF MICHIGAN,17,100,14,0,9,19,34,18,34,11,9,11,14,14,27,0,0,As Expected,Not Available,As Expected,Not Available,Not Available,Not Available,Not Available
242305,WINONA HEALTH SERVICES,WINONA,Non-Profit,INDEPENDENT,8,100,35,28.3,25,35,349,37,360,31,27,136,37,37,357,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
242306,"U OF MN MED CTR, FAIRVIEW - DIALYSIS",HENNEPIN,Non-Profit,INDEPENDENT,11,0,3,0,1,3,12,3,15,5,2,25,3,3,15,11,48,As Expected,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
242309,MAYO CLINIC HOSPITAL ROCHESTER,OLMSTED,Non-Profit,MAYO CLINIC DIALYSIS,39,96,87,23.6,107,151,1181,165,1230,127,169,487,111,111,829,0,0,Better than Expected,As Expected,As Expected,Not Available,As Expected,As Expected,As Expected
262339,FREEMAN NEPHROLOGY & DIALYSIS CENTER,JASPER,Non-Profit,INDEPENDENT,17,99,72,22.9,70,100,866,108,920,82,90,397,83,83,672,0,0,As Expected,As Expected,As Expected,Worse than Expected,As Expected,As Expected,As Expected
232663,DAVITA BURTON DIALYSIS,GENESEE,Profit,DAVITA,12,98,75,24.9,85,118,1044,124,1092,97,104,427,84,84,694,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
232664,LIBERTY DIALYSIS AT LAKELAND - ROYALTON,BERRIEN,Profit,FRESENIUS MEDICAL CARE,1,0,1,28.0,28,39,232,42,259,31,32,153,5,5,17,0,0,As Expected,As Expected,Not Available,Not Available,As Expected,As Expected,As Expected
232665,DAVITA RIVERWOOD DIALYSIS,OAKLAND,Profit,DAVITA,16,97,68,20.3,46,69,599,72,618,54,73,236,72,72,631,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
232666,"FMS BEAUMONT HEALTH, LLC",OAKLAND,Profit,FRESENIUS MEDICAL CARE,24,91,114,14.6,81,117,960,121,937,106,168,474,123,123,982,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,Better than Expected,As Expected
232667,FMC - GARDEN CITY,WAYNE,Profit,FRESENIUS MEDICAL CARE,16,94,87,17.0,55,92,800,96,808,70,118,312,95,95,822,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected
252527,RCG GRENADA,GRENADA,Profit,FRESENIUS MEDICAL CARE,27,98,111,18.3,89,111,1097,123,1153,102,61,401,123,123,1163,0,0,As Expected,As Expected,As Expected,As Expected,As Expected,As Expected,Better than Expected
252528,RCG CLEVELAND,BOLIVAR,Profit,FRESENIUS MEDICAL CARE,29,93,135,26.3,107,142,1303,152,1360,129,145,511,154,154,1387,0,0,As Expected,As Expected,As Expected,Better than Expected,As Expected,As Expected,As Expected
252529,FMC MAGEE,SIMPSON,Profit,FRESENIUS MEDICAL CARE,24,100,117,13.6,83,119,1111,126,1159,97,79,342,127,127,1171,0,0,As Expected,As Expected,As Expected,As Expected,Better than Expected,Better than Expected,As Expected
252530,RCG ABERDEEN  (BLUE BLUFF),MONROE,Profit,FRESENIUS MEDICAL CARE,32,97,126,15.2,114,128,1268,136,1290,125,97,524,137,137,1301,0,0,As Expected,Worse than Expected,Better than Expected,As Expected,As Expected,Better than Expected,As Expected
